Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
90,2003,NBA,2,42,ORL,Zaza Pachulia,19.141,C,ge,,2004,2018,1030,20.7,6.9,5.9,1.3,0.7,0.4,0.47,0.473,0,0.75,50.3,0.113
91,2004,NBA,2,43,NYK,Trevor Ariza,18.364,F,us,University of California Los Angeles,2005,2018,942,29.5,10.5,4.8,2.1,1.5,0.3,0.424,0.481,0.353,0.723,57.4,0.099
92,2000,NBA,2,43,MIL,Michael Redd,20.314,G,us,Ohio State University,2001,2012,629,32,19,3.8,2.1,0.9,0.1,0.447,0.475,0.38,0.838,55.9,0.134
93,2008,NBA,2,45,SAS,Goran Dragic,22.057,G,si,,2009,2018,722,28,13.7,3.1,4.8,1,0.2,0.469,0.51,0.364,0.762,49.4,0.117
94,2005,NBA,2,45,PHI,Louis Williams,18.249,G,us,,2006,2018,861,24.4,13.7,2.1,3.1,0.9,0.2,0.42,0.461,0.348,0.834,54.3,0.124
95,2006,NBA,2,47,UTA,Paul Millsap,21.143,F,us,Louisiana Tech University,2007,2018,875,29.5,14.2,7.4,2.3,1.3,1,0.491,0.513,0.33,0.734,82.1,0.153
96,2007,NBA,2,48,LAL,Marc Gasol,22.155,C,es,,2009,2018,716,33.7,15.2,7.7,3.3,0.9,1.5,0.487,0.499,0.344,0.779,73.5,0.146
97,2003,NBA,2,51,NJN,Kyle Korver,22.106,G-F,us,Creighton University,2004,2018,1104,26.2,9.9,3,1.8,0.7,0.3,0.444,0.464,0.431,0.881,68.7,0.114
98,2005,NBA,2,56,DET,Amir Johnson,18.063,F-C,us,,2006,2018,819,21.7,7.2,5.5,1.2,0.6,1,0.572,0.588,0.337,0.67,54.2,0.146
99,2005,NBA,2,57,PHO,Marcin Gortat,21.137,C-F,pl,,2008,2018,759,26.3,10.2,8.1,1.1,0.5,1.1,0.552,0.553,0.15,0.678,59.9,0.144
100,1999,NBA,2,57,SAS,Manu Ginobili,21.342,G,ar,,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,0.447,0.498,0.369,0.827,106.4,0.19
